Wall time,Step,Value
1729021997.8489966,1,4.0
1729022123.1951437,2,0.0
1729022801.1957507,3,5.0
1729023559.4749858,4,3.0
1729024013.7011817,5,7.0
1729024107.8652415,6,4.0
1729025021.196884,7,6.0
1729025532.155957,8,1.0
1729025631.3992312,9,4.0
1729026172.2213113,10,5.0
1729026285.5554934,11,0.0
1729026711.1980934,12,6.0
1729028759.3843043,13,5.0
1729030594.8772473,14,3.0
1729031307.0398173,15,8.0
1729031339.5780425,16,6.0
1729031374.995827,17,8.0
1729031571.9301438,18,1.0
1729031607.8810043,19,0.0
1729031831.0234375,20,0.0
1729031870.1094484,21,8.0
1729031899.0609462,22,6.0
1729031938.577589,23,3.0
1729032354.4318476,24,0.0
1729032393.0194016,25,8.0
1729032880.0481536,26,7.0
1729033128.0423737,27,4.0
1729034203.3096735,28,3.0
1729034272.0951233,29,6.0
1729034752.2600472,30,7.0
1729035396.7493346,31,6.0
1729035559.3483381,32,4.0
1729035605.4277136,33,0.0
1729035863.267074,34,5.0
1729036130.9770753,35,0.0
1729037025.9640818,36,1.0
1729037242.4107814,37,0.0
1729037547.2586598,38,1.0
1729037649.7541258,39,6.0
1729037894.5381627,40,6.0
1729038248.315638,41,2.0
1729038499.9656482,42,2.0
1729039843.472249,43,0.0
1729041555.29976,44,5.0
1729041903.461659,45,4.0
1729041939.8961036,46,6.0
1729042144.0382073,47,3.0
1729042377.5655913,48,3.0
1729043663.2263615,49,3.0
1729044359.4795573,50,5.0
1729044502.8075607,51,4.0
1729044745.3018606,52,3.0
1729046541.283737,53,3.0
1729046770.1789453,54,0.0
1729047583.3062863,55,6.0
1729047656.5282657,56,0.0
1729047921.883413,57,2.0
1729051615.799957,58,0.0
1729051805.9998708,59,7.0
1729052221.5476592,60,0.0
1729052268.4753537,61,6.0
1729052692.2486243,62,5.0
1729053087.003783,63,0.0
1729053124.0417788,64,9.0
1729053163.0759566,65,0.0
1729054639.345804,66,3.0
1729054670.8939304,67,1.0
1729054701.304949,68,6.0
1729054954.2222025,69,6.0
1729055624.0780523,70,5.0
1729058801.348497,71,5.0
1729058840.4833472,72,4.0
1729060274.0662122,73,7.0
1729060686.6732717,74,5.0
1729061405.5991783,75,6.0
1729061803.0163414,76,4.0
1729062151.9317486,77,4.0
1729062183.7422776,78,7.0
1729062536.5009398,79,5.0
1729062890.213333,80,0.0
1729063082.8614335,81,8.0
1729063145.824406,82,2.0
1729063352.6073525,83,5.0
1729063724.1524215,84,0.0
1729063990.118625,85,7.0
1729064239.3978834,86,0.0
1729064419.453895,87,2.0
1729065598.4503698,88,9.0
1729065822.0228837,89,2.0
1729065890.7351384,90,0.0
1729067194.4075084,91,6.0
1729067248.007347,92,0.0
1729067412.0524492,93,6.0
1729067655.0575995,94,4.0
1729067689.5922055,95,8.0
1729068085.1302078,96,5.0
1729068514.863672,97,5.0
1729069386.1551127,98,8.0
1729069428.8225396,99,9.0
1729069477.4246879,100,5.0
1729070287.9439437,101,0.0
1729070465.573013,102,3.0
1729070499.142858,103,4.0
1729070574.3020446,104,0.0
1729070851.3814087,105,0.0
1729071099.0250933,106,0.0
1729071356.671029,107,0.0
1729071615.990775,108,7.0
1729072057.4126475,109,2.0
1729072105.5785198,110,4.0
1729072330.31544,111,9.0
1729072379.53007,112,6.0
1729072576.406254,113,5.0
1729072683.9065373,114,7.0
1729072913.902831,115,5.0
1729072964.0766675,116,0.0
1729073006.6098468,117,0.0
1729073453.1565325,118,8.0
1729073524.3520927,119,0.0
1729073897.4974449,120,0.0
1729073975.1879973,121,9.0
1729074232.698884,122,0.0
1729074314.2684178,123,7.0
1729074579.5418165,124,7.0
1729074857.2374172,125,1.0
1729075321.3477888,126,5.0
1729075572.8817782,127,6.0
1729075605.6001153,128,3.0
1729076197.82187,129,9.0
1729076943.479234,130,0.0
1729077340.40443,131,0.0
1729077523.0282004,132,9.0
1729077922.487038,133,1.0
1729078104.86271,134,0.0
1729078154.7153645,135,9.0
1729078328.2548513,136,8.0
1729078534.4037604,137,9.0
1729078578.6675758,138,0.0
1729078773.0784342,139,7.0
1729078808.3189487,140,3.0
1729079045.181618,141,8.0
1729079105.2645419,142,7.0
1729079331.4652221,143,0.0
1729079372.4107606,144,0.0
1729079605.1182194,145,8.0
1729079642.5742266,146,9.0
1729079830.8380592,147,9.0
1729079865.7069666,148,0.0
1729080147.8565328,149,9.0
1729080366.8556466,150,9.0
1729080474.298261,151,9.0
1729080751.4081397,152,0.0
1729080951.6265595,153,9.0
1729081359.3748188,154,4.0
1729081406.8996713,155,8.0
1729081455.6294434,156,7.0
1729081707.4213076,157,0.0
1729081929.1077683,158,6.0
1729082233.0503132,159,4.0
1729083337.235491,160,3.0
1729083534.9162686,161,9.0
1729083864.0321972,162,3.0
1729084086.4550717,163,4.0
1729084380.3230922,164,4.0
1729085144.9412837,165,3.0
1729085788.192429,166,1.0
1729086838.1884692,167,2.0
1729087098.0611236,168,5.0
1729087787.6378913,169,0.0
1729089370.6672068,170,0.0
1729089987.7103043,171,8.0
1729090969.1049347,172,2.0
1729091209.3613486,173,0.0
1729092791.6401272,174,4.0
1729092886.4244287,175,0.0
1729093161.5913358,176,4.0
1729093229.012769,177,7.0
1729093491.6900299,178,0.0
1729093817.3196294,179,3.0
1729094243.7207782,180,0.0
1729096687.5240757,181,0.0
1729096749.7559817,182,6.0
1729096952.3953748,183,0.0
1729097450.9719179,184,0.0
1729097546.5149593,185,6.0
1729097761.7234635,186,7.0
1729097801.0756273,187,4.0
