Wall time,Step,Value
1729021872.3582003,1,381.0
1729021886.4421651,2,187.0
1729021998.3363907,4,152.0
1729022123.8052351,5,1542.0
1729022184.623727,6,39.0
1729022227.431676,7,684.0
1729022283.2692075,8,847.0
1729022437.4851396,9,26.0
1729022483.6886847,10,111.0
1729022516.558753,11,190.0
1729022565.3604171,12,543.0
1729022801.719429,13,1424.0
1729022844.4671729,14,378.0
1729022862.3810177,15,300.0
1729022885.7637565,16,158.0
1729023079.4423628,17,2.0
1729023110.9685369,18,543.0
1729023150.5566235,19,525.0
1729023204.485729,20,782.0
1729023474.075587,21,593.0
1729023560.0352552,22,13.0
1729023594.9311895,23,581.0
1729023603.2922566,24,92.0
1729023866.1253083,25,779.0
1729023927.53472,26,411.0
1729024108.4783783,28,1440.0
1729024468.6927383,31,220.0
1729024559.5367856,32,1595.0
1729024875.0909636,33,14.0
1729024925.6708672,34,10.0
1729025021.7391474,35,1560.0
1729025433.51432,37,37.0
1729025532.7223241,38,1654.0
1729025631.940928,39,1731.0
1729025682.5382807,40,315.0
1729026086.458732,41,1206.0
1729026185.525113,43,156.0
1729026286.1338763,44,1582.0
1729026711.8192184,45,1524.0
1729026767.0481024,46,8.0
1729026785.6467712,47,259.0
1729026852.282963,48,1022.0
1729027247.9221845,50,62.0
1729027252.6765816,51,64.0
1729027692.9691613,53,1550.0
1729027712.8931892,54,262.0
1729027725.620433,55,184.0
1729027787.1443603,56,19.0
1729028087.4636667,57,19.0
1729028097.760257,58,136.0
1729028164.3978312,60,1019.0
1729028495.5011942,61,1277.0
1729028572.4635358,62,1211.0
1729028653.846077,63,1245.0
1729028759.970863,64,1698.0
1729029037.8412848,65,308.0
1729029076.0526266,66,637.0
1729029154.0255506,67,1229.0
1729029216.3759787,68,860.0
1729029511.6744401,69,3.0
1729029565.5533836,70,718.0
1729029704.712077,72,32.0
1729029973.4092724,73,348.0
1729029996.5215468,74,26.0
1729030052.8385396,75,848.0
1729030084.387537,76,436.0
1729030343.4230635,77,553.0
1729030376.6433194,78,959.0
1729030383.5097363,79,309.0
1729030395.9661083,80,544.0
1729030548.38468,82,595.0
1729030566.2534902,83,781.0
1729030737.6355639,85,73.0
1729030743.8535023,86,268.0
1729030755.2535412,87,535.0
1729030769.9695392,88,617.0
1729030892.3234737,89,335.0
1729030915.4336421,90,1099.0
1729030944.0779154,92,515.0
1729031085.797617,93,932.0
1729031109.8858652,94,1163.0
1729031132.7753327,95,1042.0
1729031144.7413259,96,471.0
1729031307.1575036,97,1252.0
1729031309.2220397,98,60.0
1729031375.1416774,100,1181.0
1729031536.1901295,101,513.0
1729031572.0493393,102,1237.0
1729031608.0118163,103,1256.0
1729031627.1877048,104,129.0
1729031831.1401627,105,1668.0
1729031870.226631,106,1570.0
1729031899.178675,107,38.0
1729032135.5278146,109,1022.0
1729032140.8833542,110,198.0
1729032141.695091,111,12.0
1729032143.2009099,112,46.0
1729032302.6557386,113,25.0
1729032315.47126,114,397.0
1729032354.5495348,115,1529.0
1729032393.136586,116,1549.0
1729032572.073554,117,791.0
1729032593.110431,118,90.0
1729032608.6978557,119,155.0
1729032637.029981,120,1243.0
1729032819.5956554,121,1001.0
1729032846.3327193,122,1169.0
1729032850.9083552,123,16.0
1729032880.1668458,124,93.0
1729033053.4611588,125,152.0
1729033085.0030763,126,1455.0
1729033128.1600623,127,1927.0
1729033147.8395925,128,809.0
1729033378.659935,130,904.0
1729033391.2745261,131,507.0
1729033660.0173545,134,1078.0
1729033702.2526348,135,1889.0
1729033925.142399,137,243.0
1729033943.8332398,138,821.0
1729033980.9611485,140,1419.0
1729034233.096073,142,1116.0
1729034242.7086904,143,380.0
1729034272.2434893,144,77.0
1729034480.3016884,145,265.0
1729034504.3978524,146,974.0
1729034517.0019379,147,500.0
1729034722.1774752,149,78.0
1729034723.7441633,150,29.0
1729034752.3777874,151,5.0
1729034768.42642,152,156.0
1729034946.6517403,154,611.0
1729034950.7634957,155,145.0
1729034954.9503136,156,126.0
1729035120.5087628,157,1987.0
1729035143.533578,158,947.0
1729035153.1831987,159,388.0
1729035185.118698,160,453.0
1729035352.4175115,162,72.0
1729035362.8111572,163,2.0
1729035559.4655225,165,24.0
1729035605.5469668,166,1733.0
1729035620.5802495,168,337.0
1729035813.804512,169,1742.0
1729035863.3862698,170,2067.0
1729035889.454706,172,330.0
1729036081.2491045,173,617.0
1729036131.0952659,174,2048.0
1729036194.3452995,176,872.0
1729036378.3666456,177,156.0
1729036393.8364983,178,622.0
1729036434.8560581,179,1627.0
1729036678.4541087,181,604.0
1729036705.6987212,182,1129.0
1729036730.889924,183,1057.0
1729036768.824509,184,1622.0
1729036944.3583608,185,154.0
1729036945.0302823,186,7.0
1729036974.3225293,187,347.0
1729037026.0822651,188,2041.0
1729037242.5285017,189,2206.0
1729037313.0391574,191,1056.0
1729037321.249446,192,292.0
1729037595.2929604,195,1670.0
1729037913.5780334,199,769.0
1729037931.6601148,200,736.0
1729038168.6248493,201,2102.0
1729038189.7163894,202,238.0
1729038209.7047777,203,811.0
1729038248.4343295,204,856.0
1729038462.4879224,206,835.0
1729038500.0848427,207,826.0
1729038518.4512079,208,117.0
1729038729.733185,209,786.0
1729038758.844547,210,1200.0
1729038960.9019017,213,104.0
1729038978.700225,214,722.0
1729038986.87952,215,309.0
1729039018.7164462,216,1265.0
1729039193.2135456,217,281.0
1729039212.8810453,218,676.0
1729039228.549523,219,601.0
1729039240.3837726,220,479.0
1729039418.4526339,221,1486.0
1729039422.239485,222,135.0
1729039437.929175,223,649.0
1729039440.1094432,224,72.0
1729039600.3861942,226,385.0
1729039617.9369292,227,154.0
1729039622.4657865,228,147.0
1729039783.7633111,230,502.0
1729039790.0281715,231,237.0
1729039843.591444,232,2177.0
1729039976.727456,233,171.0
1729039992.9064727,234,641.0
1729040000.3704736,235,291.0
1729040005.946542,236,205.0
1729040174.7876704,238,216.0
1729040191.3535645,239,693.0
1729040355.9978895,241,768.0
1729040381.9748547,242,1035.0
1729040391.085114,243,359.0
1729040562.780441,245,1310.0
1729040575.2654126,246,324.0
1729040582.6116743,247,288.0
1729040617.069789,248,583.0
1729040756.2379782,249,650.0
1729040760.2068613,250,153.0
1729040773.3287644,251,522.0
1729040779.1178672,252,205.0
1729040904.9694169,253,220.0
1729040923.5235584,254,583.0
1729040932.1816297,255,335.0
1729040956.6561797,256,979.0
1729041104.8594348,257,948.0
1729041132.489933,259,762.0
1729041147.0153174,260,549.0
1729041273.2019312,261,368.0
1729041310.37448,262,1514.0
1729041386.8359282,264,2027.0
1729041525.280997,265,383.0
1729041555.4189565,266,139.0
1729041594.4327269,268,645.0
1729041752.5184965,270,291.0
1729041760.3213356,272,215.0
1729041903.578871,273,43.0
1729041940.01379,274,699.0
1729041958.9491465,275,720.0
1729041981.12037,276,836.0
1729042115.5608454,278,315.0
1729042144.1578689,279,4.0
1729042172.3986363,280,142.0
1729042311.8330243,281,297.0
1729042336.4185941,282,427.0
1729042345.652461,283,323.0
1729042377.6853423,284,334.0
1729042517.0982316,285,356.0
1729042683.2615697,290,346.0
1729042696.381098,292,233.0
1729042799.9812918,293,302.0
1729042838.8813796,295,588.0
1729042844.69384,296,229.0
1729042961.9330804,297,918.0
1729042970.2350762,298,326.0
1729042980.744377,299,428.0
1729042989.3821764,300,324.0
1729043092.5008035,301,354.0
1729043123.0678601,302,443.0
1729043135.3020315,303,474.0
1729043144.1954136,304,350.0
1729043252.793301,305,605.0
1729043323.1804912,308,217.0
1729043435.2146235,309,497.0
1729043452.786467,310,606.0
1729043465.5921414,311,481.0
1729043482.5069993,312,72.0
1729043613.0626817,314,341.0
1729043626.504005,315,510.0
1729043663.3445883,316,724.0
1729043799.392447,317,921.0
1729043803.0086944,318,118.0
1729043846.0797217,319,1681.0
1729043861.3602097,320,562.0
1729043983.3737042,321,435.0
1729043992.9567869,322,333.0
1729043995.76173,323,97.0
1729044007.9291878,324,260.0
1729044134.65338,325,693.0
1729044151.0683134,326,66.0
1729044173.3678575,327,852.0
1729044177.4403088,328,129.0
1729044294.3259704,329,97.0
1729044359.5962381,331,346.0
1729044361.2318861,332,39.0
1729044519.3315444,334,633.0
1729044549.8187168,336,301.0
1729044745.4200506,338,2014.0
1729044775.2800786,339,270.0
1729044807.899279,340,818.0
1729044952.7751822,341,332.0
1729044966.5988612,342,400.0
1729044985.1596985,343,748.0
1729045003.8101077,344,501.0
1729045182.7255068,345,1685.0
1729045184.8720686,346,62.0
1729045214.7945106,347,292.0
1729045233.0935843,348,728.0
1729045389.9349573,349,478.0
1729045416.778862,350,1091.0
1729045436.9091146,351,756.0
1729045447.1654341,352,398.0
1729045604.4759166,353,1317.0
1729045608.2008984,354,122.0
1729045626.8052382,355,138.0
1729045644.8944585,356,739.0
1729045784.9094126,357,431.0
1729045797.054854,358,484.0
1729045803.4195495,359,248.0
1729045810.9562957,360,273.0
1729045931.5491595,361,349.0
1729045954.9804401,362,964.0
1729045977.0792336,363,885.0
1729045985.9162982,364,341.0
1729046094.496243,365,263.0
1729046128.26413,366,1384.0
1729046134.5001252,367,242.0
1729046140.1973429,368,227.0
1729046268.0209315,369,1254.0
1729046318.747753,371,1126.0
1729046329.0993192,372,389.0
1729046485.546817,374,800.0
1729046511.019251,375,296.0
1729046541.4014227,376,196.0
1729046679.0456843,377,324.0
1729046717.6132746,378,1552.0
1729046770.2996492,379,2125.0
1729046789.5663564,380,693.0
1729046981.3178322,382,705.0
1729047016.4856977,383,677.0
1729047206.7185724,385,781.0
1729047227.2961888,386,847.0
